# extended ;1
# legs ;['blueleg']
# legs model ;['tetra']
# legs young modulus ;[35000.]
# legs poisson ratio ;[0.45]
# legs position on motor ;['counterclockwisedown', 'clockwisedown', 'counterclockwisedown', 'clockwisedown']
# connector ;bluepart
# connector type ;rigid
Target;Simulation;DepthCamera;Polhemus
[ -32. -122.    8.];[ -31.88148339 -122.27021824    7.98603376];[ -25.26440946 -121.29285631    6.78268254];[0.0, 0.0, 0.0]
[ -32. -122.    0.];[-3.18780448e+01 -1.22282828e+02  9.38750528e-03];[ -24.66727219 -121.95874392    0.56099963];[0.0, 0.0, 0.0]
[ -32. -122.   -8.];[ -31.8808812  -122.27899165   -7.96733008];[ -24.72097    -121.85345524   -6.05122757];[0.0, 0.0, 0.0]
[ -32. -122.  -16.];[ -31.88780731 -122.26276399  -15.94399418];[ -24.88676879 -121.75697605  -13.12853777];[0.0, 0.0, 0.0]
[ -24. -122.  -24.];[ -23.93774881 -122.24493911  -23.91749911];[ -18.97406013 -121.65848761  -20.0652098 ];[0.0, 0.0, 0.0]
[ -24. -122.  -16.];[ -23.92297463 -122.27347276  -15.94801232];[ -18.68622369 -121.76351036  -13.28019567];[0.0, 0.0, 0.0]
[ -24. -122.   -8.];[ -23.91649281 -122.29007514   -7.97245727];[ -18.1262277  -121.92874638   -6.21222181];[0.0, 0.0, 0.0]
[ -24. -122.    0.];[-2.39141887e+01 -1.22291810e+02  2.44109782e-03];[ -18.83336203 -121.28079705    0.13562305];[0.0, 0.0, 0.0]
[ -24. -122.    8.];[ -23.91677193 -122.27777406    7.97856362];[ -19.1183825  -121.13628283    7.1645943 ];[0.0, 0.0, 0.0]
[ -24. -122.   16.];[ -23.91973116 -122.26290972   15.95489635];[ -19.2794949  -121.31019603   14.27886874];[0.0, 0.0, 0.0]
[ -24. -122.   24.];[ -23.92351979 -122.24427733   23.92986358];[ -19.69109946 -120.98159174   19.61039492];[0.0, 0.0, 0.0]
[ -16. -122.   32.];[ -15.95306714 -122.25770995   31.88432708];[ -12.56098432 -121.88992481   25.89144585];[0.0, 0.0, 0.0]
[ -16. -122.   24.];[ -15.94652801 -122.27056855   23.92544708];[ -12.72614518 -121.28147799   19.47440089];[0.0, 0.0, 0.0]
[ -16. -122.   16.];[ -15.94589047 -122.27925846   15.95451869];[ -12.57460481 -121.59927442   13.97124367];[0.0, 0.0, 0.0]
[ -16. -122.    8.];[ -15.94591733 -122.28502955    7.98085938];[ -12.77166409 -121.74860173    7.24554273];[0.0, 0.0, 0.0]
[ -16. -122.    0.];[-1.59453492e+01 -1.22296138e+02  6.23032902e-03];[ -12.32996452 -122.06366992    0.81445272];[0.0, 0.0, 0.0]
[ -16. -122.   -8.];[ -15.94740918 -122.2958541    -7.96806278];[ -12.60879365 -121.64376338   -6.61111659];[0.0, 0.0, 0.0]
[ -16. -122.  -16.];[ -15.95259704 -122.27927742  -15.943467  ];[ -12.26348612 -121.49678538  -13.06837815];[0.0, 0.0, 0.0]
[ -16. -122.  -24.];[ -15.95802061 -122.25968315  -23.91846802];[ -12.34600003 -121.70986121  -19.8501683 ];[0.0, 0.0, 0.0]
[ -16. -122.  -32.];[ -15.96219718 -122.24284377  -31.88856729];[ -12.42671592 -122.032317    -26.28580807];[0.0, 0.0, 0.0]
[  -8. -122.  -32.];[  -7.98617974 -122.26093066  -31.88557115];[  -5.74578257 -121.94457291  -26.23262311];[0.0, 0.0, 0.0]
[  -8. -122.  -24.];[  -7.98183313 -122.27112216  -23.9205824 ];[  -5.15806693 -122.18409033  -19.33659399];[0.0, 0.0, 0.0]
[  -8. -122.  -16.];[  -7.97893687 -122.28159406  -15.94866564];[  -5.81837095 -121.99293595  -13.96830341];[0.0, 0.0, 0.0]
[  -8. -122.   -8.];[  -7.97564843 -122.295773     -7.97440973];[  -5.98053153 -122.34363825   -7.26313014];[0.0, 0.0, 0.0]
[  -8. -122.    0.];[-7.97344443e+00 -1.22298424e+02 -1.00181544e-03];[-6.08307359e+00 -1.22295166e+02 -5.00472872e-02];[0.0, 0.0, 0.0]
