# extended ;1
# legs ;['blueleg']
# legs model ;['beam']
# legs young modulus ;[35000.]
# legs poisson ratio ;[0.45]
# legs position on motor ;['counterclockwisedown', 'clockwisedown', 'counterclockwisedown', 'clockwisedown']
# connector ;bluepart
# connector type ;rigid
Target;Simulation;DepthCamera;Polhemus
[  16. -122.   24.];[  15.95328319 -122.19588403   23.92765245];[0 0 0];[16.84 -120.99 22.89]
[  16. -122.   16.];[  15.9482046  -122.20758727   15.94843768];[0 0 0];[16.87 -121.43 15.02]
[  16. -122.    8.];[  15.94636941 -122.2088623     7.97394117];[0 0 0];[17.05 -121.98 6.92]
[  16. -122.    0.];[ 1.59453487e+01 -1.22210730e+02  3.68606813e-04];[0 0 0];[17.43 -122.4 -1.76]
[  16. -122.   -8.];[  15.94636776 -122.2088621    -7.97332573];[0 0 0];[17.21 -122.3 -10.37]
[  16. -122.  -16.];[  15.94819788 -122.2076035   -15.94793107];[0 0 0];[17.01 -121.8 -18.59]
[  16. -122.  -24.];[  15.95327454 -122.1959077   -23.92723834];[0 0 0];[16.9 -121.31 -25.89]
[  16. -122.  -32.];[  15.95834385 -122.18530993  -31.90823788];[0 0 0];[16.68 -120.99 -33.63]
[  24. -122.  -24.];[  23.92908894 -122.19790985  -23.93023699];[0 0 0];[23.94 -121.0 -27.05]
[  24. -122.  -16.];[  23.92604854 -122.19970975  -15.95260408];[0 0 0];[24.07 -121.3 -19.14]
[  24. -122.   -8.];[  23.92347896 -122.20123549   -7.97608302];[0 0 0];[23.75 -121.49 -10.55]
[  24. -122.    0.];[ 2.39221588e+01 -1.22202821e+02 -3.71479386e-04];[0 0 0];[23.2 -121.52 -1.99]
[  24. -122.    8.];[  23.92347658 -122.20123479    7.97546121];[0 0 0];[23.62 -121.3 6.56]
[  24. -122.   16.];[  23.92604303 -122.19971333   15.95209434];[0 0 0];[24.08 -120.84 14.35]
[  24. -122.   24.];[  23.92967582 -122.19786756   23.92945412];[0 0 0];[24.35 -120.3 21.89]
[  32. -122.   16.];[  31.90392407 -122.19288238   15.95737569];[0 0 0];[31.03 -120.37 14.6]
[  32. -122.    8.];[  31.90149023 -122.19471537    7.97830116];[0 0 0];[30.82 -120.74 6.32]
[  32. -122.    0.];[ 3.18997860e+01 -1.22196469e+02  3.74996809e-04];[0 0 0];[30.74 -120.96 -2.03]
[  32. -122.   -8.];[  31.90148716 -122.19471407   -7.97767116];[0 0 0];[30.77 -121.02 -10.37]
[  32. -122.  -16.];[  31.90470938 -122.19277353  -15.95638625];[0 0 0];[30.93 -120.77 -18.5]
[  40. -130.    0.];[ 3.98449135e+01 -1.30135624e+02 -2.74548094e-02];[0 0 0];[38.15 -127.56 -2.83]
[  32. -130.  -24.];[  31.96433309 -130.17753951  -23.64655835];[0 0 0];[31.39 -127.93 -23.98]
