# extended ;1
# legs ;['blueleg']
# legs model ;['cosserat']
# legs young modulus ;[35000.]
# legs poisson ratio ;[0.45]
# legs position on motor ;['counterclockwisedown', 'clockwisedown', 'counterclockwisedown', 'clockwisedown']
# connector ;bluepart
# connector type ;rigid
Target;Simulation;DepthCamera;Polhemus
[  -8. -114.  -24.];[  -7.96748742 -114.42811253  -23.89383265];[0 0 0];[-6.8 -132.09 -13.54]
[  -8. -114.  -32.];[  -7.96745519 -114.42388515  -31.84755504];[0 0 0];[-6.62 -132.32 -20.54]
[ -16. -114.  -32.];[ -15.93269994 -114.41964587  -31.84738127];[0 0 0];[-12.64 -132.43 -21.12]
[ -16. -114.  -24.];[ -15.93298235 -114.42415643  -23.89402926];[0 0 0];[-13.04 -132.45 -14.45]
[ -16. -114.  -16.];[ -15.93360153 -114.42405571  -15.93360153];[0 0 0];[-13.31 -132.6 -7.9]
[ -16. -114.   -8.];[ -15.93331411 -114.42795036   -7.96770617];[0 0 0];[-13.31 -132.44 -1.06]
[ -16. -114.    0.];[-1.59332161e+01 -1.14429239e+02 -5.17173314e-11];[0 0 0];[-13.26 -132.1 5.95]
[ -16. -114.    8.];[ -15.9333141  -114.42795033    7.96770618];[0 0 0];[-13.12 -131.5 12.92]
[ -16. -114.   16.];[ -15.93360156 -114.42405565   15.93360153];[0 0 0];[-13.03 -130.51 20.02]
[ -16. -114.   24.];[ -15.93298232 -114.4241565    23.89402925];[0 0 0];[-13.12 -129.74 26.88]
[ -16. -114.   32.];[ -15.93269994 -114.41964584   31.84738129];[0 0 0];[-13.11 -128.96 33.65]
[ -24. -114.   24.];[ -23.8943162  -114.41739065   23.89431616];[0 0 0];[-18.93 -129.74 28.12]
[ -24. -114.   16.];[ -23.89402934 -114.42415624   15.93298236];[0 0 0];[-19.11 -130.54 21.39]
[ -24. -114.    8.];[ -23.8938327  -114.4281124     7.96748745];[0 0 0];[-19.29 -131.14 14.66]
[ -24. -114.    0.];[-2.38937638e+01 -1.14429417e+02 -1.45035661e-08];[0 0 0];[-19.55 -131.7 7.89]
[ -24. -114.   -8.];[ -23.89383271 -114.42811231   -7.96748745];[0 0 0];[-19.69 -132.12 0.86]
[ -24. -114.  -16.];[ -23.89402932 -114.42415624  -15.93298236];[0 0 0];[-19.73 -132.22 -6.34]
[ -24. -114.  -24.];[ -23.89431622 -114.41739056  -23.89431619];[0 0 0];[-19.49 -132.32 -13.59]
[ -32. -114.  -16.];[ -31.8473814  -114.41964558  -15.93269997];[0 0 0];[-25.33 -132.58 -6.8]
[ -32. -114.   -8.];[ -31.84755518 -114.42388489   -7.9674552 ];[0 0 0];[-25.88 -132.17 0.8]
[ -32. -114.    0.];[-3.18476079e+01 -1.14425276e+02  5.34281172e-09];[0 0 0];[-25.91 -131.61 7.74]
[ -32. -114.    8.];[ -31.84755517 -114.42388492    7.96745521];[0 0 0];[-25.88 -130.87 14.74]
[ -32. -114.   16.];[ -31.8473814  -114.41964563   15.93269997];[0 0 0];[-25.85 -129.93 21.22]
[ -32. -122.   16.];[ -31.82632973 -122.33665822   15.92125228];[0 0 0];[-25.68 -134.44 21.73]
[ -32. -122.    8.];[ -31.8273335  -122.34264857    7.96180374];[0 0 0];[-25.35 -135.35 15.64]
[ -32. -122.    0.];[-3.18276502e+01 -1.22344596e+02  1.07467841e-09];[0 0 0];[-24.94 -135.98 8.89]
[ -32. -122.   -8.];[ -31.82733348 -122.34264861   -7.96180375];[0 0 0];[-24.71 -136.32 1.79]
[ -32. -122.  -16.];[ -31.82632975 -122.3366582   -15.92125228];[0 0 0];[-24.57 -136.57 -5.41]
[ -24. -122.  -24.];[ -23.87944109 -122.33433971  -23.87944107];[0 0 0];[-19.04 -137.0 -13.08]
[ -24. -122.  -16.];[ -23.8801915  -122.34387411  -15.9233245 ];[0 0 0];[-19.08 -137.08 -6.67]
[ -24. -122.   -8.];[ -23.88056921 -122.34933691   -7.96271285];[0 0 0];[-19.48 -136.65 0.73]
[ -24. -122.    0.];[-2.38806849e+01 -1.22351121e+02 -1.68935116e-10];[0 0 0];[-19.38 -136.22 7.5]
[ -24. -122.    8.];[ -23.88056921 -122.34933691    7.96271284];[0 0 0];[-19.24 -135.53 14.22]
[ -24. -122.   16.];[ -23.88019149 -122.34387414   15.9233245 ];[0 0 0];[-19.25 -134.66 20.67]
[ -24. -122.   24.];[ -23.87944109 -122.33433975   23.87944106];[0 0 0];[-19.44 -134.02 27.31]
[ -16. -122.   32.];[ -15.92125223 -122.33665846   31.82632957];[0 0 0];[-13.69 -133.43 33.55]
[ -16. -122.   24.];[ -15.92332449 -122.3438743    23.88019139];[0 0 0];[-13.01 -134.13 27.86]
[ -16. -122.   16.];[ -15.9252821  -122.34513747   15.92528209];[0 0 0];[-12.88 -134.89 21.14]
[ -16. -122.    8.];[ -15.92536371 -122.35036364    7.96359029];[0 0 0];[-13.02 -135.47 14.58]
[ -16. -122.    0.];[-1.59253852e+01 -1.22352077e+02  1.30737332e-08];[0 0 0];[-13.19 -136.26 7.91]
[ -16. -122.   -8.];[ -15.92536371 -122.35036363   -7.96359029];[0 0 0];[-13.31 -136.56 0.86]
[ -16. -122.  -16.];[ -15.92528209 -122.34513746  -15.92528208];[0 0 0];[-13.19 -136.53 -6.06]
[ -16. -122.  -24.];[ -15.92332447 -122.34387431  -23.8801914 ];[0 0 0];[-13.12 -136.79 -13.14]
